procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 30506960 220752 30872884    0    0     0     0 3779 4282 13  0 87  0  0
 2  0      0 30499840 220752 30872896    0    0     0     0 3934 4309 13  0 87  0  0
 1  0      0 30498580 220752 30872900    0    0     0     0 3831 5849  9  0 91  0  0
 1  0      0 30498580 220752 30872936    0    0     0    76 3755 4560  6  0 94  0  0
 1  0      0 30498580 220760 30872932    0    0     0    36 3682 4405  6  0 94  0  0
 1  0      0 30498580 220768 30872940    0    0     0    56 3774 4382  6  0 94  0  0
 1  0      0 30500692 220768 30872948    0    0     0     0 3789 4309  6  0 94  0  0
 1  0      0 30496596 220768 30872956    0    0     0     0 3729 4335  6  0 93  0  0
 1  0      0 30487928 220768 30872984    0    0     0     0 3760 4633  6  0 94  0  0
 1  0      0 30479484 220776 30873020    0    0     0    76 3945 5382  7  0 93  0  0
 1  0      0 30471292 220776 30873024    0    0     0     0 3788 4333  6  0 94  0  0
 1  0      0 30463100 220784 30873028    0    0     0    24 3878 4505  6  0 94  0  0
 1  0      0 30454908 220784 30873036    0    0     0     0 3805 4473  6  0 94  0  0
 1  0      0 30441360 220784 30873040    0    0     0     0 3853 4616  6  0 94  0  0
 1  0      0 30438840 220792 30873036    0    0     0   132 3874 4719  6  0 94  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 30434492 220792 30873048    0    0     0     0 3853 4735  6  0 93  0  0
 1  0      0 30430396 220792 30873056    0    0     0     0 3854 4850  6  0 94  0  0
 1  0      0 30409916 220792 30873060    0    0     0     0 3887 4766  6  0 94  0  0
 1  0      0 30409916 220792 30873068    0    0     0   184 4000 4855  6  0 94  0  0
 1  0      0 30409916 220800 30873096    0    0     0    16 4102 5261  7  0 93  0  0
 1  0      0 30368148 220800 30873112    0    0     0    84 4055 4571  6  0 94  0  0
 1  0      0 30363820 220800 30873112    0    0     0     0 4037 4865  6  0 94  0  0
 1  0      0 30363568 220800 30873120    0    0     0     0 4016 4661  7  0 93  0  0
 1  0      0 30353108 220808 30873148    0    0     0    64 3929 4660  6  0 94  0  0
 1  0      0 30353108 220816 30873148    0    0     0    36 3974 4411  6  0 94  0  0
 1  0      0 30353108 220816 30873164    0    0     0     0 4004 4376  6  0 94  0  0
 1  0      0 30349012 220816 30873168    0    0     0    64 4030 4375  6  0 94  0  0
 1  0      0 30340820 220816 30873176    0    0     0     0 3981 4401  6  0 94  0  0
 1  0      0 30336724 220816 30873180    0    0     0     0 3895 5245  6  0 94  0  0
 1  0      0 30328532 220832 30873208    0    0     0    56 3949 5876  7  0 93  0  0
 1  0      0 30324436 220832 30873220    0    0     0     0 3674 4373  6  0 94  0  0
 1  0      0 30316244 220832 30873228    0    0     0     0 3702 4383  6  0 94  0  0
 1  0      0 30308052 220832 30873232    0    0     0    80 3849 4412  6  0 94  0  0
 1  0      0 30303956 220832 30873236    0    0     0     0 3726 4402  6  0 94  0  0
 1  0      0 30291416 220840 30873236    0    0     0    36 3717 4380  6  0 94  0  0
 1  0      0 30287320 220840 30873252    0    0     0     0 3805 4371  6  0 94  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 30283224 220848 30873244    0    0     0    12 3764 4825  6  0 94  0  0
 1  0      0 30279128 220848 30873280    0    0     0     0 3834 5304  7  0 93  0  0
 1  0      0 30266840 220848 30873284    0    0     0   104 3819 5326  6  0 94  0  0
 1  0      0 30252032 220856 30873316    0    0     0    36 3801 5435  7  0 93  0  0
 1  0      0 30247180 220856 30873328    0    0     0     0 3913 4465  7  0 93  0  0
 1  0      0 30246928 220856 30873332    0    0     0     0 3805 4333  6  0 94  0  0
